time;seconds_elapsed;z;y;x;target
1682350000000000000,00;22155600000000,00;22995600000000000,00;-31381600000000000,00;20920600000000000,00;gehen
1682350000000000000,00;23156500000000,00;2293910000000000,00;-31049900000000000,00;21358300000000000,00;gehen
1682350000000000000,00;241570000000000,00;2312330000000000,00;-3042720000000000,00;21987100000000000,00;gehen
1682350000000000000,00;25157300000000,00;23069900000000000,00;-30088900000000000,00;22423500000000000,00;gehen
1682350000000000000,00;26157421875,00;3173900000000000,00;-3308080000000000,00;21359900000000000,00;gehen
1682350000000000000,00;2715750000000,00;3554100000000000,00;-35278100000000000,00;2202180000000000,00;gehen
1682350000000000000,00;281576000000,00;38311200000000000,00;-3684160000000000,00;22811900000000000,00;gehen
1682350000000000000,00;291576000000000,00;399992000000000,00;-3847270000000000,00;24553400000000000,00;gehen
1682350000000000000,00;30157700000000,00;39253700000000000,00;-4068250000000000,00;25986300000000000,00;gehen
1682350000000000000,00;31157700000000,00;3610060000000000,00;-417900000000000,00;26612000000000000,00;gehen
1682350000000000000,00;32157700000000,00;3080370000000000,00;-4186890000000000,00;2641220000000000,00;gehen
1682350000000000000,00;331576000000000,00;2271510000000000,00;-4083900000000000,00;26482900000000000,00;gehen
1682350000000000000,00;341576000000000,00;15440700000000000,00;-39038800000000000,00;26789400000000000,00;gehen
1682350000000000000,00;351576000000,00;8560890000000000,00;-3706300000000000,00;27027900000000000,00;gehen
1682350000000000000,00;361576000000,00;2924200000000000,00;-3643450000000000,00;28906100000000000,00;gehen
1682350000000000000,00;37157600000000,00;-1402750000000000,00;-3679620000000000,00;31475800000000000,00;gehen
1682350000000000000,00;381575000000000,00;-3074310000000000,00;-37585100000000000,00;3397610000000000,00;gehen
1682350000000000000,00;3915750000000,00;-7316970000000000,00;-3752840000000000,00;36635300000000000,00;gehen
1682350000000000000,00;401575000000000,00;4066450000000000,00;-37757900000000000,00;3747200000000000,00;gehen
1682350000000000000,00;411574000000000,00;8965190000000000,00;-391022000000000,00;3727430000000000,00;gehen
1682350000000000000,00;421574000000000,00;1288680000000000,00;-4094470000000000,00;36107400000000000,00;gehen
1682350000000000000,00;43157400000000,00;16497300000000000,00;-4218800000000000,00;341009000000000,00;gehen
1682350000000000000,00;441573000000000,00;17372200000000000,00;-4255470000000000,00;31792700000000000,00;gehen
1682350000000000000,00;45157300000000,00;15930500000000000,00;-4278870000000000,00;2782750000000000,00;gehen
1682350000000000000,00;461572000000000,00;13600200000000000,00;-4284030000000000,00;25466200000000000,00;gehen
1682350000000000000,00;4715710000000,00;10867800000000000,00;-4236090000000000,00;22483900000000000,00;gehen
1682350000000000000,00;48157100000000,00;9331080000000000,00;-4083780000000000,00;1995690000000000,00;gehen
1682350000000000000,00;491570000000000,00;8236400000000000,00;-39265300000000000,00;1822910000000000,00;gehen
1682350000000000000,00;501570000000000,00;774409000000000,00;-3776170000000000,00;17424000000000000,00;gehen
1682350000000000000,00;51156900000000,00;7185510000000000,00;-3611920000000000,00;1738840000000000,00;gehen
1682350000000000000,00;52156800000000,00;5602740000000000,00;-3441840000000000,00;18225700000000000,00;gehen
1682350000000000000,00;531567000000000,00;3600150000000000,00;-3305320000000000,00;1952650000000000,00;gehen
1682350000000000000,00;54156600000000,00;28298000000000000,00;-3120640000000000,00;20004400000000000,00;gehen
1682350000000000000,00;551565000000000,00;2159280000000000,00;-29779200000000000,00;2008520000000000,00;gehen
1682350000000000000,00;5615630000000,00;22469400000000000,00;-28257200000000000,00;2013930000000000,00;gehen
1682350000000000000,00;5715625,00;28418800000000000,00;-2734890000000000,00;20247800000000000,00;gehen
1682350000000000000,00;5815620000000,00;4104730000000000,00;-26836500000000000,00;2097080000000000,00;gehen
1682350000000000000,00;591560000000000,00;5838280000000000,00;-26456200000000000,00;21791600000000000,00;gehen
1682350000000000000,00;601559000000000,00;797175000000000,00;-26308400000000000,00;2246610000000000,00;gehen
1682350000000000000,00;61155800000000,00;9100780000000000,00;-2636970000000000,00;23231500000000000,00;gehen
1682350000000000000,00;621557000000000,00;9831010000000000,00;-26596100000000000,00;23741700000000000,00;gehen
1682350000000000000,00;6315560000000,00;11414100000000000,00;-2700610000000000,00;2435900000000000,00;gehen
1682350000000000000,00;651553000000000,00;17348800000000000,00;-27637300000000000,00;24849800000000000,00;gehen
1682350000000000000,00;66155200000000,00;20103600000000000,00;-2850250000000000,00;23934100000000000,00;gehen
1682350000000000000,00;67155100000000,00;2260690000000000,00;-29362900000000000,00;2243590000000000,00;gehen
1682350000000000000,00;6815500000000,00;2305630000000000,00;-29455400000000000,00;2071810000000000,00;gehen
1682350000000000000,00;691549000000000,00;22753100000000000,00;-28943600000000000,00;1836430000000000,00;gehen
1682350000000000000,00;701547000000000,00;2215360000000000,00;-281935000000000,00;16827300000000000,00;gehen
1682350000000000000,00;711546000000000,00;20867700000000000,00;-2806330000000000,00;16333800000000000,00;gehen
1682350000000000000,00;721545000000000,00;1924960000000000,00;-28071000000000000,00;1658720000000000,00;gehen
1682350000000000000,00;73154300000000,00;18303600000000000,00;-27469300000000000,00;17208800000000000,00;gehen
1682350000000000000,00;741542000000000,00;16903600000000000,00;-2673540000000000,00;1781580000000000,00;gehen
1682350000000000000,00;751541000000,00;16237700000000000,00;-2559630000000000,00;18541900000000000,00;gehen
1682350000000000000,00;761540000000000,00;16123200000000000,00;-25379700000000000,00;19055800000000000,00;gehen
1682350000000000000,00;771538000000000,00;15740100000000000,00;-2512650000000000,00;19270300000000000,00;gehen
1682350000000000000,00;781537000000,00;15711200000000000,00;-24759200000000000,00;18860700000000000,00;gehen
1682350000000000000,00;7915360000000,00;1657490000000000,00;-2471010000000000,00;18096400000000000,00;gehen
1682350000000000000,00;80153500000000,00;17883200000000000,00;-24069500000000000,00;17332200000000000,00;gehen
1682350000000000000,00;811533000000000,00;19460400000000000,00;-24861100000000000,00;18791000000000000,00;gehen
1682350000000000000,00;821532000000000,00;210386000000000,00;-2774500000000000,00;2089850000000000,00;gehen
1682350000000000000,00;831531000000000,00;2478270000000000,00;-3090400000000000,00;2247890000000000,00;gehen
1682350000000000000,00;84153000000000,00;3028290000000000,00;-32843000000000000,00;22367300000000000,00;gehen
1682350000000000000,00;8515280000000,00;3568560000000000,00;-34463500000000000,00;20715700000000000,00;gehen
1682350000000000000,00;86152734375,00;39823500000000000,00;-375181000000000,00;1968510000000000,00;gehen
1682350000000000000,00;871526000000000,00;4149110000000000,00;-4071180000000000,00;1851700000000000,00;gehen
1682350000000000000,00;881525000000000,00;4024300000000000,00;-4370270000000000,00;1704490000000000,00;gehen
1682350000000000000,00;8915234375,00;3658560000000000,00;-45066800000000000,00;14808300000000000,00;gehen
1682350000000000000,00;9015220000000,00;32480200000000000,00;-4512270000000000,00;12106300000000000,00;gehen
1682350000000000000,00;91152100000000,00;27338900000000000,00;-4424630000000000,00;10091700000000000,00;gehen
1682350000000000000,00;921520000000000,00;21500900000000000,00;-431706000000000,00;946906000000000,00;gehen
1682350000000000000,00;931518000000000,00;1527840000000000,00;-418319000000000,00;9290780000000000,00;gehen
1682350000000000000,00;941517000000000,00;938146000000000,00;-4019970000000000,00;9084880000000000,00;gehen
1682350000000000000,00;95151600000000,00;47708700000000000,00;-385923000000000,00;9199270000000000,00;gehen
1682350000000000000,00;9615150000000,00;4354380000000000,00;-37679100000000000,00;10262400000000000,00;gehen
1682350000000000000,00;971513000000000,00;-28110300000000000,00;-37442800000000000,00;11304600000000000,00;gehen
1682350000000000000,00;981512000000000,00;-4185200000000000,00;-3739630000000000,00;11704500000000000,00;gehen
1682350000000000000,00;991511000000000,00;-29947900000000000,00;-3848790000000000,00;12654000000000000,00;gehen
1682350000000000000,00;1001510000000,00;3456540000000000,00;-40655400000000000,00;13564900000000000,00;gehen
1682350000000000000,00;10115100000000,00;6635090000000000,00;-4356540000000000,00;14674400000000000,00;gehen
1682350000000000000,00;102151000000000,00;15504300000000000,00;-4712250000000000,00;1608200000000000,00;gehen
1682350000000000000,00;1031510000000000,00;2163630000000000,00;-49474300000000000,00;17137900000000000,00;gehen
1682350000000000000,00;1041500000000000,00;2543280000000000,00;-5082210000000000,00;17098900000000000,00;gehen
1682350000000000000,00;1051500000000000,00;2747660000000000,00;-5048690000000000,00;16527300000000000,00;gehen
1682350000000000000,00;1061500000000000,00;2648720000000000,00;-5007630000000000,00;15338400000000000,00;gehen
1682350000000000000,00;10715000000000,00;2369040000000000,00;-4968810000000000,00;15062400000000000,00;gehen
1682350000000000000,00;108150000000000,00;18842000000000000,00;-494352000000000,00;1527910000000000,00;gehen
1682350000000000000,00;109150000000000,00;13162100000000000,00;-4766840000000000,00;15483700000000000,00;gehen
1682350000000000000,00;11015000000000,00;8014600000000000,00;-4496760000000000,00;1491940000000000,00;gehen
1682350000000000000,00;1111500000000000,00;41803800000000000,00;-4245730000000000,00;14944600000000000,00;gehen
1682350000000000000,00;112149000000000,00;8909130000000000,00;-4139240000000000,00;1550650000000000,00;gehen
1682350000000000000,00;1131490000000000,00;-17270800000000000,00;-40214000000000000,00;1620190000000000,00;gehen
1682350000000000000,00;1141490000000000,00;-37499300000000000,00;-3859100000000000,00;15886700000000000,00;gehen
1682350000000000000,00;115149000000000,00;-563179000000000,00;-3693280000000000,00;15229900000000000,00;gehen
1682350000000000000,00;11614900000000,00;-7395110000000000,00;-3535950000000000,00;1471450000000000,00;gehen
1682350000000000000,00;117149000000,00;-8253770000000000,00;-33627400000000000,00;13953500000000000,00;gehen
1682350000000000000,00;1181490000000000,00;-8406860000000000,00;-32252700000000000,00;13112300000000000,00;gehen
1682350000000000000,00;1191490000000000,00;-7768160000000000,00;-3124930000000000,00;1287630000000000,00;gehen
1682350000000000000,00;1201484375,00;-6251420000000000,00;-30489200000000000,00;1306610000000000,00;gehen
1682350000000000000,00;1211480000000000,00;-38419200000000000,00;-29726000000000000,00;13812400000000000,00;gehen
1682350000000000000,00;122148000000000,00;-8537910000000000,00;-291243000000000,00;14345800000000000,00;gehen
1682350000000000000,00;1231480000000000,00;22396200000000000,00;-28517100000000000,00;14798600000000000,00;gehen
1682350000000000000,00;1241480000000000,00;5995650000000000,00;-2764300000000000,00;14610100000000000,00;gehen
1682350000000000000,00;1251480000000000,00;1003510000000000,00;-2695700000000000,00;15201500000000000,00;gehen
1682350000000000000,00;126148000000000,00;14408300000000000,00;-26887900000000000,00;16175000000000000,00;gehen
1682350000000000000,00;12714800000000,00;17928400000000000,00;-2717820000000000,00;16997800000000000,00;gehen
1682350000000000000,00;1281470000000,00;2034810000000000,00;-27984800000000000,00;17237100000000000,00;gehen
1682350000000000000,00;1291470000000000,00;23099500000000000,00;-28415600000000000,00;17255500000000000,00;gehen
1682350000000000000,00;1301470000000000,00;25012300000000000,00;-2852350000000000,00;17652600000000000,00;gehen
1682350000000000000,00;1311470000000,00;26243300000000000,00;-29263800000000000,00;19096600000000,00;gehen
1682350000000000000,00;1321470000000000,00;27107100000000000,00;-29700600000000000,00;19733900000000000,00;gehen
1682350000000000000,00;133147000000000,00;27569200000000000,00;-30528700000000000,00;19287900000000000,00;gehen
1682350000000000000,00;1341470000000000,00;276987000000000,00;-31374100000000000,00;17753100000000000,00;gehen
1682350000000000000,00;1351470000000000,00;2801520000000000,00;-3272490000000000,00;15970700000000000,00;gehen
1682350000000000000,00;1361460000000000,00;29012200000000000,00;-3395110000000000,00;13661900000000000,00;gehen
1682350000000000000,00;137146000000000,00;30607000000000000,00;-34829600000000000,00;1207300000000000,00;gehen
1682350000000000000,00;13814600000000,00;3227080000000000,00;-35796900000000000,00;11018500000000000,00;gehen
1682350000000000000,00;1391460000000000,00;3317670000000000,00;-36199600000000000,00;9159780000000000,00;gehen
1682350000000000000,00;140146000000000,00;33392300000000000,00;-35870300000000000,00;806968000000000,00;gehen
1682350000000000000,00;1411460000000000,00;3250240000000,00;-36412800000000000,00;7876940000000000,00;gehen
1682350000000000000,00;142146000000,00;31819700000000000,00;-36897400000000000,00;9950610000000000,00;gehen
1682350000000000000,00;14314600000000,00;32086300000000000,00;-3807300000000000,00;12140600000000000,00;gehen
1682350000000000000,00;1441460000000,00;33015000000000000,00;-38909100000000000,00;13002100000000000,00;gehen
1682350000000000000,00;1451450000000000,00;34218600000000000,00;-39926400000000000,00;12938200000000000,00;gehen
1682350000000000000,00;146145000000000,00;36140200000000000,00;-404686000000000,00;12583800000000000,00;gehen
1682350000000000000,00;147145000000000,00;36883300000000000,00;-4092410000000000,00;12332400000000000,00;gehen
1682350000000000000,00;1481450000000000,00;36856200000000000,00;-4066090000000000,00;11939400000000000,00;gehen
1682350000000000000,00;149145000000,00;35844800000000000,00;-4012470000000000,00;1243210000000000,00;gehen
1682350000000000000,00;15014500000000,00;33100800000000000,00;-39544200000000000,00;1367040000000000,00;gehen
1682350000000000000,00;1511450000000000,00;2804100000000000,00;-38661800000000000,00;15206400000000000,00;gehen
1682350000000000000,00;152145000000000,00;22096400000000000,00;-3716050000000000,00;15992400000000000,00;gehen
1682350000000000000,00;1531440000000000,00;15132500000000000,00;-355438000000000,00;16437100000000000,00;gehen
1682350000000000000,00;1541440000000000,00;8599790000000000,00;-3436930000000000,00;16863600000000000,00;gehen
1682350000000000000,00;15514400000000,00;30929000000000000,00;-33811300000000000,00;18222500000000000,00;gehen
1682350000000000000,00;1561440000000000,00;-15198900000000000,00;-33583300000000000,00;2042210000000000,00;gehen
1682350000000000000,00;1571440000000000,00;-32179700000000000,00;-33323300000000000,00;22201300000000000,00;gehen
1682350000000000000,00;158144000000000,00;-2138690000000000,00;-335067000000000,00;24810600000000000,00;gehen
1682350000000000000,00;1591440000000000,00;-15646000000000000,00;-35053600000000000,00;2877270000000000,00;gehen
1682350000000000000,00;16014400000000,00;35283500000000000,00;-366231000000000,00;3260260000000000,00;gehen
1682350000000000000,00;1611440000000,00;8577240000000000,00;-38432600000000000,00;35394400000000000,00;gehen
1682350000000000000,00;1621430000000000,00;1377510000000000,00;-4010380000000000,00;36049800000000000,00;gehen
1682350000000000000,00;163143000000000,00;18311800000000000,00;-4157510000000000,00;35285200000000000,00;gehen
1682350000000000000,00;1641430000000000,00;2091140000000000,00;-42517200000000000,00;3255750000000000,00;gehen
1682350000000000000,00;1651430000000000,00;21234600000000000,00;-4309040000000000,00;28682700000000000,00;gehen
1682350000000000000,00;16614296875,00;19560300000000000,00;-4321830000000000,00;23452800000000000,00;gehen
1682350000000000000,00;1671430000000000,00;15176200000000000,00;-4346930000000000,00;18998100000000000,00;gehen
1682350000000000000,00;1681430000000,00;9126500000000000,00;-4313960000000000,00;15578700000000000,00;gehen
1682350000000000000,00;1691430000000000,00;2962790000000000,00;-4131260000000000,00;13807600000000000,00;gehen
1682350000000000000,00;170143000000000,00;-3792130000000000,00;-3851400000000000,00;12911800000000000,00;gehen
1682350000000000000,00;1711420000000,00;-949277000000000,00;-3570780000000000,00;12964300000000000,00;gehen
1682350000000000000,00;17214200000000,00;-13784400000000000,00;-33208400000000000,00;1408180000000000,00;gehen
1682350000000000000,00;1731420000000000,00;-17359000000000000,00;-3113490000000000,00;15286800000000000,00;gehen
1682350000000000000,00;1741420000000000,00;-19693400000000000,00;-294999000000000,00;16107500000000000,00;gehen
1682350000000000000,00;1751420000000000,00;-1981080000000000,00;-28837300000000000,00;16416700000000000,00;gehen
1682350000000000000,00;1761420000000000,00;-17605500000000000,00;-2862090000000000,00;16410400000000000,00;gehen
1682350000000000000,00;1771420000000000,00;-14811100000000000,00;-2814440000000000,00;15776200000000000,00;gehen
1682350000000000000,00;17814200000000,00;-10902300000000000,00;-27556700000000000,00;14410500000000000,00;gehen
1682350000000000000,00;17914140625,00;-7257510000000000,00;-2709010000000000,00;13274300000000000,00;gehen
1682350000000000000,00;180141000000000,00;-4028000000000000,00;-27608700000000000,00;13448200000000000,00;gehen
1682350000000000000,00;1811410000000000,00;-13201500000000000,00;-2762520000000000,00;13809600000000000,00;gehen
1682350000000000000,00;182141000000,00;14772300000000000,00;-2738660000000000,00;14067900000000000,00;gehen
1682350000000000000,00;1831410000000000,00;5089600000000000,00;-27227200000000000,00;14576400000000000,00;gehen
1682350000000000000,00;184141000000000,00;8200250000000000,00;-27138900000000000,00;15034900000000000,00;gehen
